Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
ABCB10	chr1	19442426	chr1	19406766	19407267	0.8612	ZNF557 (0.98, + [+,+]), 
RASAL2	chr1	35333346	chr1	34690055	34690556	0.7514	ZNF341 (0.96, + [+,+]), KLF2 (0.78, + [+,+]), ZNF436 (0.74, + [+,+]), 
MEF2D	chr1	94482128	chr1	94385310	94385811	0.8586	ZFX (0.86, - [+,-]), ZNF566 (0.75, - [+,-]), ZNF263 (0.70, - [+,-]), 
PTBP2	chr1	127429746	chr1	127899338	127899839	0.834	ZNF182 (1.00, + [+,+]), CTCF (0.99, - [+,-]), ZNF557 (0.98, + [+,+]), VEZF1 (0.92, - [+,-]), 
ST6GALNAC3	chr1	148310013	chr1	148005913	148006414	0.765	ZNF205 (1.00, - [+,-]), BCL11A (0.97, - [+,-]), ZNF823 (0.79, - [+,-]), ZNF774 (0.73, + [+,+]), ZNF77 (0.71, - [+,-]), 
ST6GALNAC5	chr1	147514789	chr1	148005913	148006414	0.7846	ZNF205 (1.00, - [+,-]), BCL11A (0.97, - [+,-]), ZNF823 (0.79, - [+,-]), ZNF774 (0.73, + [+,+]), ZNF77 (0.71, - [+,-]), 
DAB1	chr1	166992832	chr1	167083776	167084277	0.7286	RBAK (1.00, - [+,-]), ZNF398 (1.00, + [+,+]), ZNF527 (0.98, + [+,+]), ZNF84 (0.92, - [+,-]), ZNF341 (0.86, + [+,+]), 
SSBP3	chr1	170006947	chr1	170189349	170189850	0.73	ZNF557 (0.93, + [+,+]), 
FAF1	chr1	173511327	chr1	173501383	173501884	0.7626	ZNF71 (0.95, - [+,-]), ZFP69B (0.87, + [+,+]), ZNF682 (0.87, + [+,+]), ZNF786 (0.81, - [+,-]), ZNF169 (0.74, + [+,+]), ZSCAN22 (0.71, + [+,+]), 
SMAP2	chr1	184201770	chr1	184209189	184209690	0.9134	VEZF1 (0.87, + [+,+]), ZNF786 (0.74, + [+,+]), 
SMAP2	chr1	184201770	chr1	184240799	184241300	0.9928	KLF10 (0.77, - [+,-]), ZNF774 (0.71, + [+,+]), 
MAN1C1	chr1	199196698	chr1	198995613	198996114	0.8162	ZNF267 (0.78, - [+,-]), ZNF354C (0.78, - [+,-]), ZNF304 (0.75, - [+,-]), ZFP69B (0.73, + [+,+]), 
MAN1C1	chr1	199196698	chr1	199139032	199139533	0.8116	SP4 (1.00, - [+,-]), SP5 (1.00, - [+,-]), SP1 (1.00, + [+,+]), GTF2I (1.00, - [+,-]), ZNF354C (1.00, - [+,-]), ZNF169 (0.97, + [+,+]), ZNF548 (0.95, + [+,+]), SP9 (0.95, + [+,+]), ZNF846 (0.93, - [+,-]), ZNF658 (0.92, + [+,+]), MZF1 (0.78, + [+,+]), SP8 (0.75, - [+,-]), ZNF774 (0.72, + [+,+]), 
MAN1C1	chr1	199196698	chr1	199247540	199248041	0.7382	ZNF846 (1.00, + [+,+]), ZNF304 (1.00, - [+,-]), SALL2 (1.00, - [+,-]), ZNF484 (0.99, - [+,-]), 
AIFM3	chr10	31707585	chr10	31688074	31688575	0.8402	ZNF571 (1.00, + [-,-]), ZNF770 (0.78, - [-,+]), 
LOC717626	chr10	64684626	chr10	64569224	64569725	0.726	ZNF786 (1.00, + [+,+]), ZNF169 (0.88, - [+,-]), 
ACSS2	chr10	70084109	chr10	70079839	70080340	0.7896	KLF7 (0.82, - [+,-]), SP1 (0.82, + [+,+]), ZNF304 (0.82, - [+,-]), SP9 (0.74, - [+,-]), ZSCAN30 (0.74, - [+,-]), KLF10 (0.71, + [+,+]), 
PPDPF	chr10	98741629	chr10	98742059	98742560	0.9998	ZNF219 (0.99, - [+,-]), SALL4 (0.88, - [+,-]), ZNF770 (0.87, + [+,+]), ZNF596 (0.86, + [+,+]), ZNF37A (0.84, + [+,+]), SALL2 (0.72, - [+,-]), 
PPDPF	chr10	98741629	chr10	99313069	99313570	0.7932	ZNF124 (1.00, + [+,+]), ZFP57 (1.00, + [+,+]), ZNF770 (0.99, + [+,+]), ZNF596 (0.98, + [+,+]), ZNF281 (0.96, + [+,+]), PATZ1 (0.96, + [+,+]), ZNF169 (0.96, + [+,+]), ZNF180 (0.94, + [+,+]), RBAK (0.91, - [+,-]), ZNF467 (0.83, - [+,-]), TAL1 (0.81, + [+,+]), KLF9 (0.80, + [+,+]), ZNF557 (0.79, + [+,+]), ZNF566 (0.72, + [+,+]), 
TNFRSF1A	chr11	6475061	chr11	6579056	6579557	0.7602	ZNF169 (0.96, + [+,+]), 
ANKS1B	chr11	99805038	chr11	99664455	99664956	0.8552	GTF3A (0.99, - [+,-]), ZNF281 (0.75, - [+,-]), ZNF169 (0.75, - [+,-]), ZNF311 (0.73, - [+,-]), 
APPL2	chr11	104982712	chr11	105057206	105057707	0.8484	ZSCAN30 (0.89, - [+,-]), ZNF71 (0.86, + [+,+]), ZNF23 (0.81, + [+,+]), MZF1 (0.80, + [+,+]), ZNF860 (0.75, - [+,-]), ZNF180 (0.73, + [+,+]), SALL2 (0.72, - [+,-]), 
HS6ST1	chr12	2580473	chr12	2624565	2625066	0.77	ZNF571 (1.00, - [+,-]), ZNF205 (0.75, + [+,+]), 
