Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
CREG1	chr1	24917002	chr1	25080293	25080794	0.7786	ZNF776 (0.95, - [+,-]), KLF15 (0.76, + [+,+]), SALL2 (0.76, + [+,+]), ZNF571 (0.71, - [+,-]), 
MPZL1	chr1	25080244	chr1	25080293	25080794	0.9898	ZNF776 (0.95, - [+,-]), KLF15 (0.76, + [+,+]), SALL2 (0.76, + [+,+]), ZNF571 (0.71, - [+,-]), 
RCSD1	chr1	24988120	chr1	25080293	25080794	0.8706	ZNF776 (0.95, - [+,-]), KLF15 (0.76, + [+,+]), SALL2 (0.76, + [+,+]), ZNF571 (0.71, - [+,-]), 
MPZL1	chr1	25080244	chr1	25159914	25160415	0.9442	ZNF384 (0.91, + [+,+]), 
XPR1	chr1	37835852	chr1	38051452	38051953	0.86	BCL11A (1.00, - [+,-]), ZFP28 (0.99, + [+,+]), ZNF169 (0.98, - [+,-]), ZNF613 (0.77, - [+,-]), 
BTG2	chr1	60813764	chr1	60776009	60776510	0.7168	ZNF557 (1.00, - [-,+]), KLF11 (1.00, - [-,+]), ZNF823 (0.93, - [-,+]), ZNF484 (0.90, - [-,+]), ZNF169 (0.89, + [-,-]), 
BATF3	chr1	70186982	chr1	70186553	70187054	0.8748	RREB1 (1.00, - [+,-]), KLF7 (0.90, - [+,-]), ZFP64 (0.90, - [+,-]), SP7 (0.85, + [+,+]), KLF1 (0.71, + [+,+]), 
AIM2	chr1	91824160	chr1	91753435	91753936	0.7118	MZF1 (1.00, + [-,-]), ZNF169 (1.00, + [-,-]), ZNF182 (0.99, + [-,-]), ZNF613 (0.99, - [-,+]), ZNF263 (0.90, + [-,-]), ETS2 (0.86, + [-,-]), ZNF205 (0.81, + [-,-]), ZNF530 (0.74, - [-,+]), 
MEF2D	chr1	94482128	chr1	94478017	94478518	0.8134	ZBTB17 (1.00, + [+,+]), ZNF770 (1.00, - [+,-]), ZNF444 (0.99, + [+,+]), SALL2 (0.99, + [+,+]), ZNF304 (0.97, + [+,+]), PRDM9 (0.95, + [+,+]), ZNF180 (0.93, + [+,+]), BCL11A (0.93, + [+,+]), MAZ (0.89, + [+,+]), KLF2 (0.87, + [+,+]), ZNF394 (0.80, + [+,+]), ZNF341 (0.80, + [+,+]), SP7 (0.73, + [+,+]), 
TMIGD3	chr1	112627497	chr1	112453753	112454254	0.8538	KLF10 (0.78, - [+,-]), ZNF180 (0.73, + [+,+]), 
LOC695041	chr1	116036014	chr1	116036195	116036696	0.9502	ZNF557 (1.00, + [+,+]), ETS2 (1.00, + [+,+]), CTCFL (1.00, + [+,+]), ZNF169 (1.00, - [+,-]), ZNF596 (1.00, + [+,+]), ZNF527 (0.98, + [+,+]), VEZF1 (0.84, - [+,-]), ZBTB7A (0.83, - [+,-]), PRDM9 (0.72, + [+,+]), 
VAV3	chr1	116345723	chr1	116374039	116374540	0.892	ZNF557 (0.74, - [-,+]), RBAK (0.72, - [-,+]), ZNF766 (0.70, + [-,-]), 
VAV3	chr1	116345723	chr1	116429686	116430187	0.7266	ZNF613 (0.97, + [-,-]), ZNF384 (0.91, - [-,+]), 
PTBP2	chr1	127429746	chr1	127311728	127312229	0.768	KLF10 (1.00, + [+,+]), RREB1 (0.99, - [+,-]), ZNF22 (0.93, + [+,+]), ZBTB17 (0.80, + [+,+]), 
TUT4	chr1	171893991	chr1	171790931	171791432	0.7114	ZSCAN30 (1.00, - [+,-]), ZNF846 (1.00, + [+,+]), ZNF467 (1.00, + [+,+]), ZNF444 (0.98, + [+,+]), 
EPS15	chr1	172950963	chr1	172999234	172999735	0.9172	KLF5 (0.95, - [+,-]), ZNF766 (0.90, - [+,-]), MZF1 (0.85, + [+,+]), ZNF304 (0.74, - [+,-]), 
EIF2B3	chr1	179430379	chr1	179625815	179626316	0.7384	MZF1 (0.73, + [-,-]), KLF9 (0.71, - [-,+]), RBAK (0.71, - [-,+]), 
SCMH1	chr1	183324298	chr1	183323970	183324471	0.999	KLF1 (0.83, + [+,+]), ZNF467 (0.74, + [+,+]), SP7 (0.73, + [+,+]), CTCFL (0.70, + [+,+]), 
WASF2	chr1	197239320	chr1	197236780	197237281	0.7398	ZNF169 (1.00, + [-,-]), ZNF768 (1.00, - [-,+]), ZNF548 (0.99, + [-,-]), 
CLSTN1	chr1	214566712	chr1	214069628	214070129	0.7092	ZNF205 (1.00, + [-,-]), ZNF354C (1.00, + [-,-]), ZNF441 (0.98, + [-,-]), ZFP28 (0.97, + [-,-]), ZNF384 (0.89, - [-,+]), ZNF182 (0.82, - [-,+]), 
CLSTN1	chr1	214566712	chr1	214603509	214604010	0.7878	ZFP64 (0.90, - [+,-]), CTCF (0.87, + [+,+]), 
RERE	chr1	215694960	chr1	215694611	215695112	0.981	ETS2 (0.75, + [+,+]), ZSCAN30 (0.72, + [+,+]), DNMT1 (0.72, - [+,-]), ZNF182 (0.70, - [+,-]), 
DNAJC11	chr1	217810278	chr1	217808129	217808630	0.7344	ZNF770 (0.98, + [+,+]), 
DNAJC11	chr1	217810278	chr1	217902760	217903261	0.9254	KLF16 (0.90, - [-,+]), SP1 (0.78, - [-,+]), KLF13 (0.77, + [-,-]), ZNF571 (0.76, + [-,-]), ZNF180 (0.75, - [-,+]), ZNF304 (0.75, - [-,+]), ZNF394 (0.75, + [-,-]), ZNF311 (0.74, - [-,+]), KLF15 (0.72, - [-,+]), ZNF37A (0.71, - [-,+]), 
RALGAPA2	chr10	45798714	chr10	45666936	45667437	0.8724	ZNF205 (0.97, - [+,-]), ZNF202 (0.94, + [+,+]), STAT2 (0.93, + [+,+]), 
MGME1	chr10	48536802	chr10	48837421	48837922	0.8252	ZNF181 (1.00, + [-,-]), ZNF770 (1.00, - [-,+]), HDX (1.00, + [-,-]), ZNF658 (0.98, + [-,-]), 
GPCPD1	chr10	60903143	chr10	60903090	60903591	0.9496	ZNF311 (0.75, - [+,-]), ZNF436 (0.74, - [+,-]), KLF16 (0.73, + [+,+]), 
PTPN1	chr10	85744466	chr10	85725990	85726491	0.852	ZNF121 (0.98, + [+,+]), ZNF71 (0.98, + [+,+]), ZNF22 (0.98, + [+,+]), ZNF613 (0.88, - [+,-]), 
CLEC7A	chr11	9579043	chr11	9610398	9610899	0.8354	ZNF394 (0.84, + [+,+]), ZNF281 (0.81, + [+,+]), 
NCKAP1L	chr11	54113882	chr11	54179437	54179938	0.9654	KLF10 (0.75, - [+,-]), SP1 (0.73, + [+,+]), ZNF823 (0.70, - [+,-]), 
RPL41	chr11	55676240	chr11	55794753	55795254	0.995	ZNF169 (0.81, - [+,-]), KLF9 (0.79, + [+,+]), ZNF846 (0.74, - [+,-]), KLF16 (0.71, + [+,+]), 
SELPLG	chr11	108251676	chr11	108432891	108433392	0.8646	ZNF354C (0.91, + [-,-]), ZNF189 (0.83, - [-,+]), ZNF22 (0.70, + [-,-]), 
TPCN1	chr11	112934548	chr11	113156306	113156807	0.707	ZNF846 (1.00, + [+,+]), ZNF205 (1.00, + [+,+]), SALL2 (1.00, - [+,-]), RREB1 (0.96, + [+,+]), ZSCAN30 (0.76, - [+,-]), 
P2RX4	chr11	121049228	chr11	121049281	121049782	0.8276	KLF7 (0.82, + [+,+]), ZFP64 (0.82, - [+,-]), ZFP14 (0.82, - [+,-]), KLF5 (0.82, + [+,+]), KLF4 (0.80, + [+,+]), PRDM9 (0.78, + [+,+]), ZNF304 (0.77, + [+,+]), ZNF283 (0.76, + [+,+]), ZSCAN30 (0.75, + [+,+]), ZNF846 (0.75, - [+,-]), ZNF658 (0.72, + [+,+]), E2F6 (0.71, - [+,-]), ZNF786 (0.70, - [+,-]), 
FAM168B	chr12	843653	chr12	718469	718970	0.769	ZNF180 (1.00, - [+,-]), ZNF571 (0.98, + [+,+]), ZNF543 (0.96, + [+,+]), ZNF311 (0.94, - [+,-]), ZSCAN22 (0.76, + [+,+]), 
CHRNA1	chr12	61862601	chr12	61943171	61943672	0.9644	ZNF341 (1.00, + [+,+]), ZNF169 (0.99, + [+,+]), ZNF189 (0.95, + [+,+]), ZNF823 (0.95, - [+,-]), ZNF384 (0.90, + [+,+]), ZNF613 (0.84, + [+,+]), ZNF180 (0.81, + [+,+]), ZNF132 (0.73, - [+,-]), 
DNAJC10	chr12	69827053	chr12	69797580	69798081	0.8834	ZNF169 (0.81, - [+,-]), 
DNAJC10	chr12	69827053	chr12	69969138	69969639	0.8478	ZNF543 (1.00, + [+,+]), ZNF770 (1.00, + [+,+]), ZNF566 (0.99, + [+,+]), ZNF180 (0.99, - [+,-]), ZNF182 (0.98, + [+,+]), PRDM9 (0.92, - [+,-]), ZNF311 (0.91, - [+,-]), ZNF467 (0.85, + [+,+]), ZNF30 (0.85, - [+,-]), VEZF1 (0.84, - [+,-]), ZNF768 (0.72, - [+,-]), 
AGAP1	chr12	122909648	chr12	122659228	122659729	0.8218	ZNF169 (1.00, + [+,+]), STAT2 (0.99, + [+,+]), ZNF263 (0.98, + [+,+]), ZNF189 (0.91, - [+,-]), ZBTB17 (0.73, + [+,+]), 
AGAP1	chr12	122909648	chr12	122954569	122955070	0.8156	KLF1 (1.00, - [+,-]), SALL2 (1.00, - [+,-]), ETS2 (1.00, - [+,-]), ZBTB17 (0.99, + [+,+]), VEZF1 (0.99, + [+,+]), ZNF71 (0.98, + [+,+]), RBAK (0.81, + [+,+]), 
RAMP1	chr12	125260375	chr12	125604545	125605046	0.9896	ZSCAN22 (0.91, + [-,-]), ZNF180 (0.80, - [-,+]), ZNF467 (0.80, + [-,-]), ZNF304 (0.80, - [-,+]), ZNF311 (0.79, - [-,+]), ZNF786 (0.78, + [-,-]), KLF10 (0.76, + [-,-]), ZNF548 (0.72, + [-,-]), KLF7 (0.72, - [-,+]), 
TBC1D8	chr13	4947288	chr13	5028201	5028702	0.8794	ZNF596 (1.00, + [+,+]), ZNF770 (1.00, - [+,-]), ZFP28 (0.99, + [+,+]), ZNF181 (0.99, + [+,+]), ZNF384 (0.96, + [+,+]), ZNF394 (0.94, - [+,-]), STAT2 (0.94, + [+,+]), ZNF846 (0.86, - [+,-]), ZNF182 (0.82, - [+,-]), 
MERTK	chr13	15116699	chr13	15152689	15153190	0.787	IRF2 (1.00, + [-,-]), ZNF71 (0.99, + [-,-]), STAT2 (0.97, - [-,+]), BCL11A (0.96, + [-,-]), ZFP28 (0.95, - [-,+]), ZNF124 (0.94, - [-,+]), 
IL1B	chr13	16011877	chr13	16140297	16140798	0.9882	MZF1 (1.00, - [+,-]), ZNF169 (0.93, - [+,-]), 
VRK2	chr13	50716602	chr13	50718484	50718985	0.8832	ZNF202 (0.79, - [+,-]), ZNF169 (0.72, - [+,-]), 
ZFP36L2	chr13	65562512	chr13	65562597	65563098	0.8154	ZNF180 (0.77, + [+,+]), ZNF658 (0.71, + [+,+]), ZNF770 (0.70, - [+,-]), 
ZFP36L2	chr13	65562512	chr13	65682803	65683304	0.7582	KLF16 (0.95, - [+,-]), RREB1 (0.93, - [+,-]), ETS2 (0.86, + [+,+]), VEZF1 (0.79, - [+,-]), ZNF341 (0.76, - [+,-]), ZNF180 (0.71, - [+,-]), 
RPLP2	chr14	864023	chr14	635419	635920	0.8192	ZFP64 (1.00, - [+,-]), MZF1 (1.00, - [+,-]), ZNF384 (0.97, + [+,+]), ZNF22 (0.93, + [+,+]), ZNF267 (0.85, + [+,+]), ZNF613 (0.80, - [+,-]), 
SLC3A2	chr14	11339816	chr14	11387819	11388320	0.8046	KLF1 (0.88, + [+,+]), SALL2 (0.87, + [+,+]), ZNF169 (0.82, - [+,-]), 
FTH1	chr14	12157959	chr14	12146985	12147486	0.7842	ZNF786 (1.00, - [+,-]), ZNF530 (1.00, + [+,+]), ZNF467 (0.98, - [+,-]), ZNF23 (0.96, + [+,+]), RBAK (0.89, + [+,+]), ZNF557 (0.86, + [+,+]), ZNF658 (0.85, + [+,+]), ZNF267 (0.82, + [+,+]), 
PTPRJ	chr14	17771429	chr14	17625243	17625744	0.8242	ZFP28 (1.00, - [+,-]), ZSCAN30 (0.99, - [+,-]), ZNF566 (0.98, - [+,-]), PRDM9 (0.81, - [+,-]), 
PIK3C2A	chr14	48427686	chr14	48427352	48427853	0.987	ZNF530 (0.83, - [+,-]), ZNF846 (0.82, - [+,-]), 
SLC36A4	chr14	86459898	chr14	86368593	86369094	0.7234	ZNF823 (0.87, - [-,+]), PRDM6 (0.84, + [-,-]), ZNF77 (0.82, - [-,+]), MZF1 (0.81, - [-,+]), ZNF613 (0.71, - [-,+]), 
ZBTB16	chr14	107205927	chr14	107181188	107181689	0.9962	ZNF77 (1.00, - [+,-]), CTCF (1.00, - [+,-]), SP2 (1.00, + [+,+]), ZNF846 (1.00, - [+,-]), ZNF770 (1.00, - [+,-]), ZSCAN30 (1.00, + [+,+]), ZNF283 (1.00, + [+,+]), ZNF354C (0.99, + [+,+]), ZFX (0.99, - [+,-]), ZNF527 (0.98, + [+,+]), ZIC2 (0.92, + [+,+]), ZNF219 (0.92, + [+,+]), ZNF23 (0.91, + [+,+]), 
UBE4A	chr14	111414712	chr14	111299587	111300088	0.8358	ZNF26 (0.99, + [+,+]), 
SORL1	chr14	114500941	chr14	114572095	114572596	1	ZNF786 (0.83, + [+,+]), ZNF267 (0.74, - [+,-]), ZNF263 (0.73, - [+,-]), 
JAM3	chr14	126660985	chr14	126720169	126720670	0.865	ZNF22 (0.96, - [+,-]), ZNF770 (0.82, + [+,+]), 
NFIB	chr15	69272292	chr15	69279236	69279737	0.9212	ZNF776 (1.00, - [+,-]), KLF5 (0.98, + [+,+]), KLF1 (0.97, + [+,+]), ZNF30 (0.96, + [+,+]), KLF13 (0.93, + [+,+]), KLF9 (0.90, + [+,+]), ZFX (0.90, - [+,-]), ZNF543 (0.89, + [+,+]), KLF11 (0.88, + [+,+]), PRDM9 (0.87, + [+,+]), ZNF444 (0.85, - [+,-]), SP7 (0.83, + [+,+]), KLF15 (0.82, + [+,+]), ZNF770 (0.79, + [+,+]), DNMT1 (0.76, - [+,-]), KLF10 (0.75, - [+,-]), MAZ (0.72, + [+,+]), ZNF441 (0.71, - [+,-]), 
ROR2	chr15	106933162	chr15	106857722	106858223	0.7446	ZNF613 (1.00, + [+,+]), ZNF182 (1.00, - [+,-]), ZNF441 (0.95, - [+,-]), ZNF571 (0.91, - [+,-]), IRF2 (0.84, - [+,-]), ZNF84 (0.80, - [+,-]), ZNF121 (0.78, + [+,+]), 
SPNS2	chr16	4318753	chr16	4311934	4312435	0.8412	ZSCAN22 (1.00, - [+,-]), MZF1 (1.00, - [+,-]), ZNF571 (1.00, - [+,-]), ZNF770 (1.00, - [+,-]), PRDM9 (1.00, + [+,+]), ZNF219 (0.98, + [+,+]), ZNF169 (0.97, - [+,-]), VEZF1 (0.93, - [+,-]), ZFY (0.86, - [+,-]), ZNF823 (0.73, - [+,-]), TAL1 (0.71, + [+,+]), 
