Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
ABCB10	chr1	19442426	chr1	19406766	19407267	1	ZNF846 (1.00, - [+,-]), ZNF823 (1.00, - [+,-]), ZNF557 (1.00, + [+,+]), ZNF766 (1.00, + [+,+]), ZNF77 (1.00, - [+,-]), BCL11A (1.00, + [+,+]), KLF2 (1.00, - [+,-]), ZBTB7C (1.00, + [+,+]), ZNF205 (1.00, + [+,+]), 
TNR	chr1	32770494	chr1	32820518	32821019	1	ZNF860 (1.00, + [-,-]), ZNF786 (1.00, + [-,-]), ZNF283 (1.00, + [-,-]), ZNF766 (1.00, + [-,-]), ZNF770 (1.00, + [-,-]), SP5 (1.00, + [-,-]), STAT2 (1.00, - [-,+]), ZNF182 (1.00, + [-,-]), ZNF219 (1.00, + [-,-]), KLF2 (1.00, - [-,+]), PRDM6 (1.00, - [-,+]), 
RASAL2	chr1	35333346	chr1	34690055	34690556	1	ZNF846 (1.00, + [+,+]), ZNF436 (1.00, + [+,+]), ZNF341 (1.00, + [+,+]), ZNF766 (1.00, + [+,+]), ZNF205 (1.00, - [+,-]), SALL2 (1.00, + [+,+]), KLF2 (1.00, + [+,+]), 
GLUL	chr1	39632263	chr1	39376056	39376557	1	ZNF84 (1.00, + [-,-]), ZNF774 (1.00, - [-,+]), ZNF846 (1.00, - [-,+]), ZNF823 (1.00, - [-,+]), ZNF384 (1.00, + [-,-]), ZNF557 (1.00, - [-,+]), ZNF613 (1.00, - [-,+]), ZNF766 (1.00, - [-,+]), ZNF71 (1.00, + [-,-]), ZNF467 (1.00, + [-,-]), ZNF341 (1.00, - [-,+]), STAT2 (1.00, + [-,-]), VEZF1 (1.00, - [-,+]), SALL2 (1.00, + [-,-]), PRDM6 (1.00, - [-,+]), MAZ (1.00, + [-,-]), ETS2 (1.00, - [-,+]), ZFP28 (1.00, + [-,-]), ZBTB17 (1.00, - [-,+]), ZNF202 (1.00, + [-,-]), ZNF267 (1.00, + [-,-]), ZFY (1.00, + [-,-]), ZNF182 (1.00, + [-,-]), 
GLUL	chr1	39632263	chr1	39508658	39509159	1	ZNF770 (1.00, + [+,+]), ZNF571 (1.00, - [+,-]), ZNF557 (1.00, + [+,+]), ZNF384 (1.00, - [+,-]), ZNF513 (1.00, - [+,-]), ZNF613 (1.00, + [+,+]), ZNF121 (1.00, - [+,-]), ZNF169 (1.00, + [+,+]), ZNF182 (1.00, - [+,-]), ZFP28 (1.00, + [+,+]), STAT2 (1.00, + [+,+]), PRDM6 (1.00, + [+,+]), 
GLUL	chr1	39632263	chr1	39524402	39524903	1	ZSCAN22 (1.00, - [+,-]), ZNF846 (1.00, - [+,-]), ZNF444 (1.00, - [+,-]), ZNF398 (1.00, + [+,+]), ZNF596 (1.00, + [+,+]), ZNF682 (1.00, - [+,-]), ZNF658 (1.00, + [+,+]), ZNF71 (1.00, + [+,+]), ZNF770 (1.00, + [+,+]), ZNF37A (1.00, + [+,+]), ZNF341 (1.00, + [+,+]), ZNF283 (1.00, - [+,-]), ZNF467 (1.00, - [+,-]), GTF2I (1.00, + [+,+]), ZBTB17 (1.00, - [+,-]), TAL1 (1.00, + [+,+]), VEZF1 (1.00, + [+,+]), ZFP64 (1.00, - [+,-]), ZNF180 (1.00, + [+,+]), ZNF132 (1.00, + [+,+]), ZNF169 (1.00, + [+,+]), ZNF205 (1.00, - [+,-]), ZNF202 (1.00, - [+,-]), ZNF219 (1.00, + [+,+]), KLF2 (1.00, - [+,-]), SALL2 (1.00, + [+,+]), SALL4 (1.00, - [+,-]), MZF1 (1.00, + [+,+]), MAZ (1.00, - [+,-]), ZNF263 (1.00, + [+,+]), 
RGL1	chr1	40896934	chr1	41038865	41039366	1	ZNF846 (1.00, - [+,-]), ZNF557 (1.00, + [+,+]), ZNF354C (1.00, - [+,-]), ZNF766 (1.00, + [+,+]), ZNF169 (1.00, + [+,+]), 
RGL1	chr1	40896934	chr1	41155744	41156245	1	ZNF774 (1.00, + [+,+]), ZNF823 (1.00, + [+,+]), RREB1 (1.00, - [+,-]), ZNF182 (1.00, + [+,+]), ZNF263 (1.00, + [+,+]), 
ATP2B4	chr1	61137926	chr1	61139428	61139929	1	ZSCAN30 (1.00, - [+,-]), ZNF860 (1.00, + [+,+]), ZNF84 (1.00, - [+,-]), ZNF776 (1.00, + [+,+]), ZNF823 (1.00, + [+,+]), ZNF774 (1.00, - [+,-]), ZNF557 (1.00, + [+,+]), ZNF548 (1.00, + [+,+]), ZNF71 (1.00, - [+,-]), ZNF281 (1.00, + [+,+]), ZNF341 (1.00, + [+,+]), ZNF467 (1.00, + [+,+]), ZNF30 (1.00, - [+,-]), ZNF37A (1.00, + [+,+]), ZNF484 (1.00, - [+,-]), ETS2 (1.00, + [+,+]), PRDM6 (1.00, - [+,-]), ZBTB17 (1.00, - [+,-]), VEZF1 (1.00, + [+,+]), STAT2 (1.00, - [+,-]), ZNF132 (1.00, + [+,+]), ZNF180 (1.00, + [+,+]), ZNF169 (1.00, + [+,+]), ZNF189 (1.00, + [+,+]), ZNF267 (1.00, + [+,+]), MAZ (1.00, - [+,-]), RBAK (1.00, - [+,-]), PATZ1 (1.00, + [+,+]), MZF1 (1.00, - [+,-]), GTF2I (1.00, - [+,-]), 
SRGAP2	chr1	63724985	chr1	63974252	63974753	1	ZNF823 (1.00, + [-,-]), ZNF467 (1.00, - [-,+]), ZNF37A (1.00, - [-,+]), ZNF557 (1.00, - [-,+]), ZNF354C (1.00, - [-,+]), ZNF658 (1.00, - [-,+]), MZF1 (1.00, + [-,-]), TAL1 (1.00, + [-,-]), ZNF132 (1.00, + [-,-]), 
