Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
NFASC	chr1	62343872	chr1	62456546	62457047	0.7595	ZNF22 (0.95, + [+,+]), ZNF823 (0.92, - [+,-]), 
SYT14	chr1	67441768	chr1	67366035	67366536	0.7785	ZNF182 (0.88, - [+,-]), ZNF384 (0.86, - [+,-]), ZNF205 (0.80, + [+,+]), ZNF169 (0.76, + [+,+]), ARID3A (0.73, + [+,+]), 
DUSP10	chr1	79410265	chr1	79652191	79652692	0.791	NFE2L1 (1.00, + [+,+]), FOS (0.99, + [+,+]), ZNF26 (0.99, - [+,-]), ZNF613 (0.94, - [+,-]), TCF12 (0.91, - [+,-]), ZNF71 (0.89, - [+,-]), ETS2 (0.82, + [+,+]), PRDM6 (0.80, + [+,+]), 
IGSF8	chr1	90837476	chr1	90843361	90843862	0.947	ZNF467 (0.77, - [+,-]), 
LMNA	chr1	94866936	chr1	94817631	94818132	0.803	ZSCAN30 (1.00, - [+,-]), ZNF281 (1.00, - [+,-]), VEZF1 (1.00, - [+,-]), ZNF774 (0.98, + [+,+]), KLF11 (0.93, + [+,+]), MAZ (0.87, - [+,-]), PRDM9 (0.82, - [+,-]), ZNF169 (0.73, - [+,-]), 
LRIG2	chr1	111143949	chr1	111117769	111118270	0.8285	CPEB1 (0.91, + [+,+]), ARID3A (0.85, + [+,+]), 
ST7L	chr1	111590144	chr1	111511633	111512134	0.821	ZSCAN30 (0.97, - [+,-]), KLF9 (0.96, + [+,+]), ZNF169 (0.90, - [+,-]), ZNF281 (0.89, - [+,-]), KLF13 (0.89, + [+,+]), ZNF22 (0.85, + [+,+]), VEZF1 (0.83, - [+,-]), ZNF202 (0.82, - [+,-]), KLF10 (0.73, - [+,-]), 
DPYD	chr1	126215319	chr1	126295165	126295666	0.9015	ZNF341 (1.00, + [-,-]), ZNF22 (1.00, - [-,+]), ARID3A (0.96, + [-,-]), ETS2 (0.90, - [-,+]), ZNF71 (0.84, + [-,-]), 
TGFBR3	chr1	132294678	chr1	132252888	132253389	0.978	ZNF571 (0.95, + [+,+]), PRDM6 (0.95, + [+,+]), ZNF774 (0.89, + [+,+]), ZNF22 (0.86, + [+,+]), ZNF649 (0.81, + [+,+]), TBPL2 (0.74, - [+,-]), ZNF846 (0.71, - [+,-]), 
TGFBR3	chr1	132294678	chr1	132295166	132295667	0.707	ZNF202 (0.82, - [+,-]), ZNF467 (0.80, - [+,-]), 
ST6GALNAC3	chr1	148310013	chr1	147310793	147311294	0.8315	PRDM6 (0.97, - [-,+]), BCL11A (0.93, - [-,+]), ZNF613 (0.90, - [-,+]), ZFP14 (0.83, - [-,+]), 
LRRIQ3	chr1	150218464	chr1	149921948	149922449	0.892	PRDM6 (0.89, + [-,-]), ZNF766 (0.87, - [-,+]), 
JAK1	chr1	159469859	chr1	159569441	159569942	0.821	ETS2 (0.97, + [+,+]), ZNF766 (0.91, + [+,+]), 
PRDX1	chr1	178900400	chr1	178908288	178908789	0.923	ZIC2 (0.88, + [+,+]), ZSCAN30 (0.87, - [+,-]), ZNF182 (0.74, + [+,+]), 
ST3GAL3	chr1	180753685	chr1	180906820	180907321	0.7735	ZNF281 (1.00, - [+,-]), ZNF566 (1.00, + [+,+]), MAZ (0.99, - [+,-]), ZNF467 (0.99, + [+,+]), ZNF37A (0.99, + [+,+]), VEZF1 (0.97, - [+,-]), ZFP57 (0.96, + [+,+]), WT1 (0.96, - [+,-]), ZNF444 (0.95, - [+,-]), GTF2I (0.87, + [+,+]), ZNF311 (0.81, + [+,+]), 
RSRP1	chr1	199494249	chr1	199369724	199370225	0.7255	ZNF169 (0.99, + [-,-]), ZNF182 (0.99, - [-,+]), ZNF181 (0.99, - [-,+]), ZNF22 (0.87, + [-,-]), 
ENO1	chr1	215627770	chr1	215632260	215632761	0.932	ZNF169 (0.89, - [+,-]), ZNF341 (0.83, - [+,-]), ZNF770 (0.75, + [+,+]), 
CHADL	chr10	10270672	chr10	10502946	10503447	0.9145	ZNF180 (0.92, + [-,-]), SALL2 (0.87, - [-,+]), WT1 (0.79, + [-,-]), ZFP57 (0.78, - [-,+]), ZNF281 (0.72, + [-,-]), 
EP300	chr10	10427772	chr10	10502946	10503447	0.879	ZNF180 (0.92, - [+,-]), SALL2 (0.87, + [+,+]), WT1 (0.79, - [+,-]), ZFP57 (0.78, + [+,+]), ZNF281 (0.72, - [+,-]), 
RASSF2	chr10	61652755	chr10	61652458	61652959	1	KLF7 (0.98, - [+,-]), ZFP14 (0.94, - [+,-]), ZNF281 (0.91, + [+,+]), VEZF1 (0.80, + [+,+]), ZNF205 (0.75, + [+,+]), ZNF71 (0.74, + [+,+]), WT1 (0.74, + [+,+]), 
GAPDH	chr11	6685713	chr11	6458542	6459043	0.8915	ZNF846 (1.00, - [+,-]), ZNF22 (0.99, + [+,+]), ZNF121 (0.99, - [+,-]), ZNF527 (0.74, + [+,+]), 
TMTC1	chr11	31128462	chr11	31106224	31106725	0.8865	ZNF169 (0.88, + [+,+]), 
LRIG3	chr11	58568384	chr11	58568496	58568997	0.987	ZNF846 (0.98, - [+,-]), WT1 (0.93, + [+,+]), ZNF682 (0.93, - [+,-]), ZNF205 (0.79, + [+,+]), ZSCAN30 (0.79, + [+,+]), ZNF180 (0.77, + [+,+]), 
PPM1H	chr11	62646321	chr11	62588947	62589448	0.84	ZNF22 (1.00, + [+,+]), ZNF182 (1.00, + [+,+]), ZNF169 (1.00, - [+,-]), ZNF613 (0.99, - [+,-]), ZNF557 (0.97, - [+,-]), ZNF384 (0.88, - [+,-]), 
CPM	chr11	68463300	chr11	68484231	68484732	0.843	ZNF341 (1.00, - [+,-]), ZNF484 (1.00, + [+,+]), ZNF566 (0.99, + [+,+]), GTF2I (0.98, + [+,+]), ZNF774 (0.95, - [+,-]), ZNF169 (0.95, - [+,-]), ZNF846 (0.94, + [+,+]), ZNF37A (0.70, - [+,-]), 
NTN4	chr11	95594812	chr11	95559024	95559525	0.983	ZNF557 (0.76, + [+,+]), 
ANAPC5	chr11	121191318	chr11	121104254	121104755	0.795	KLF2 (1.00, + [-,-]), ZBTB17 (1.00, + [-,-]), KLF7 (1.00, - [-,+]), ZSCAN22 (0.98, - [-,+]), ZNF768 (0.96, - [-,+]), ZNF770 (0.90, + [-,-]), ZNF304 (0.83, + [-,-]), 
UBC	chr11	124832418	chr11	124790472	124790973	0.7045	ZNF846 (1.00, - [+,-]), ZNF436 (0.99, - [+,-]), ZNF770 (0.99, - [+,-]), ZNF398 (0.99, - [+,-]), ZFP14 (0.97, - [+,-]), BCL11A (0.97, - [+,-]), PRDM9 (0.88, + [+,+]), VEZF1 (0.81, + [+,+]), ZNF304 (0.75, + [+,+]), ZNF467 (0.71, - [+,-]), 
TMEM132B	chr11	125071923	chr11	125138653	125139154	0.8845	TBPL2 (1.00, - [+,-]), ZNF649 (1.00, - [+,-]), ZNF354C (0.97, - [+,-]), ZBTB17 (0.88, - [+,-]), KLF5 (0.87, - [+,-]), ZNF205 (0.79, - [+,-]), 
PKP4	chr12	45531859	chr12	45855061	45855562	0.93	HLX (0.77, - [+,-]), 
FAM171B	chr12	73799211	chr12	73800479	73800980	0.8835	ARID3A (0.99, + [+,+]), HDX (0.96, + [+,+]), 
FAM171B	chr12	73799211	chr12	74566963	74567464	0.8635	ZNF77 (1.00, + [+,+]), ZNF169 (0.90, + [+,+]), FOS (0.86, - [+,-]), 
ZDBF2	chr12	93706234	chr12	93948462	93948963	0.746	STAT2 (1.00, + [-,-]), ZNF169 (0.99, + [-,-]), ZNF766 (0.98, + [-,-]), ZNF846 (0.97, + [-,-]), ZNF182 (0.90, - [-,+]), ARID3A (0.90, + [-,-]), HLX (0.89, + [-,-]), 
DNER	chr12	117147053	chr12	117072407	117072908	0.872	ZFY (0.84, + [+,+]), ZNF205 (0.76, - [+,-]), CPEB1 (0.71, + [+,+]), 
FARP2	chr12	128783306	chr12	128801710	128802211	0.7295	ZNF846 (1.00, + [-,-]), KLF5 (1.00, + [-,-]), SALL4 (1.00, + [-,-]), ZNF180 (0.99, + [-,-]), ZNF169 (0.99, - [-,+]), ZNF132 (0.98, - [-,+]), KLF4 (0.97, + [-,-]), KLF11 (0.96, - [-,+]), ZNF341 (0.92, - [-,+]), BCL11A (0.89, - [-,+]), KLF13 (0.81, + [-,-]), 
TSGA10	chr13	2936655	chr13	2936581	2937082	0.927	KLF7 (1.00, - [+,-]), ZNF860 (0.97, + [+,+]), KLF1 (0.93, + [+,+]), ZNF441 (0.77, - [+,-]), ZNF169 (0.76, + [+,+]), ZNF846 (0.72, - [+,-]), ZNF658 (0.72, + [+,+]), SP7 (0.70, - [+,-]), 
NRXN1	chr13	57712532	chr13	58021986	58022487	0.805	ARID3A (0.99, + [+,+]), ZNF823 (0.99, + [+,+]), ZNF71 (0.94, + [+,+]), 
ATRAID	chr13	81743879	chr13	81866751	81867252	0.7405	ZNF557 (0.99, + [+,+]), ZNF132 (0.84, - [+,-]), ARID3A (0.79, - [+,-]), ZNF548 (0.76, - [+,-]), VEZF1 (0.74, - [+,-]), ZNF37A (0.73, + [+,+]), 
DPYSL5	chr13	82129266	chr13	82034188	82034689	0.8495	CTCF (0.83, + [-,-]), ZNF444 (0.82, - [-,+]), SALL4 (0.76, + [-,-]), 
DPYSL5	chr13	82129266	chr13	82129115	82129616	0.7635	KLF16 (0.86, + [+,+]), ZNF30 (0.78, + [+,+]), ZNF467 (0.76, + [+,+]), VEZF1 (0.76, + [+,+]), WT1 (0.73, + [+,+]), ZNF281 (0.70, + [+,+]), 
TMEM258	chr14	12382073	chr14	12320983	12321484	0.8195	ZNF169 (0.71, - [+,-]), 
TMEM258	chr14	12382073	chr14	12348886	12349387	0.879	ZNF124 (1.00, + [+,+]), 
PTPRJ	chr14	17771429	chr14	17582982	17583483	0.711	RBAK (0.97, + [+,+]), ZNF394 (0.70, + [+,+]), 
LDLRAD3	chr14	29517714	chr14	29183883	29184384	0.935	ZNF770 (0.96, - [-,+]), ZNF205 (0.77, + [-,-]), ETS2 (0.73, - [-,+]), 
CD59	chr14	31732635	chr14	32016282	32016783	0.9065	OSR2 (0.72, + [+,+]), 
GALNT18	chr14	54010644	chr14	54003001	54003502	0.9865	MZF1 (1.00, - [+,-]), HDX (0.87, + [+,+]), ZNF26 (0.79, - [+,-]), 
GALNT18	chr14	54010644	chr14	54010395	54010896	1	ZNF682 (0.84, - [+,-]), ZNF543 (0.81, + [+,+]), ZFX (0.77, + [+,+]), ZNF571 (0.72, + [+,+]), ZNF467 (0.72, + [+,+]), 
GALNT18	chr14	54010644	chr14	54051148	54051649	0.9495	ZNF444 (1.00, + [+,+]), ZNF281 (1.00, + [+,+]), ZNF202 (0.98, + [+,+]), KLF10 (0.98, + [+,+]), ZNF267 (0.98, - [+,-]), ZNF467 (0.97, + [+,+]), ZNF658 (0.83, + [+,+]), ZSCAN22 (0.78, + [+,+]), ZNF169 (0.77, + [+,+]), 
GALNT18	chr14	54010644	chr14	54121366	54121867	0.8385	ZNF394 (0.99, + [+,+]), ZFX (0.99, + [+,+]), ZNF557 (0.76, + [+,+]), 
GALNT18	chr14	54010644	chr14	54183429	54183930	0.9115	RBAK (0.94, + [+,+]), 
GALNT18	chr14	54010644	chr14	54191017	54191518	0.9325	FOS (0.99, + [+,+]), PRDM6 (0.98, + [+,+]), ZNF22 (0.97, - [+,-]), ZSCAN30 (0.82, - [+,-]), 
GALNT18	chr14	54010644	chr14	54197609	54198110	0.991	ZNF22 (0.95, + [+,+]), SALL4 (0.74, + [+,+]), 
GALNT18	chr14	54010644	chr14	54205304	54205805	0.8095	PRDM9 (1.00, - [+,-]), ZNF467 (1.00, + [+,+]), ZNF84 (0.99, + [+,+]), ZNF71 (0.99, + [+,+]), ETS2 (0.98, + [+,+]), ZNF37A (0.92, + [+,+]), GTF2I (0.85, - [+,-]), 
GALNT18	chr14	54010644	chr14	54233667	54234168	0.92	ZFP28 (0.97, + [+,+]), ZNF205 (0.96, + [+,+]), ZNF649 (0.85, + [+,+]), ZNF571 (0.85, + [+,+]), ZNF384 (0.81, - [+,-]), ZNF182 (0.80, - [+,-]), 
GALNT18	chr14	54010644	chr14	54236228	54236729	0.933	FOS (0.98, + [+,+]), TAL1 (0.97, - [+,-]), 
GALNT18	chr14	54010644	chr14	54243777	54244278	0.724	ZNF202 (0.94, + [+,+]), ZNF205 (0.71, + [+,+]), 
RNF141	chr14	55139165	chr14	54935317	54935818	0.9735	CTCF (0.97, - [-,+]), ZNF682 (0.77, - [-,+]), 
DSCAML1	chr14	110857361	chr14	110569544	110570045	0.7905	ZNF283 (1.00, + [+,+]), ZNF786 (1.00, + [+,+]), ZNF181 (0.96, + [+,+]), 
DSCAML1	chr14	110857361	chr14	110796462	110796963	0.702	KLF7 (1.00, - [+,-]), KLF4 (0.77, + [+,+]), 
VWA5A	chr14	116947195	chr14	116946955	116947456	0.9745	ZNF169 (0.98, - [+,-]), ZNF384 (0.93, + [+,+]), ZNF613 (0.91, - [+,-]), ZNF182 (0.89, + [+,+]), LYL1 (0.81, + [+,+]), 
NTM	chr14	123990213	chr14	124119076	124119577	0.9395	ZNF774 (0.97, - [+,-]), CTCF (0.74, - [+,-]), 
JAM3	chr14	126660985	chr14	126646445	126646946	0.803	ZNF658 (1.00, - [+,-]), ZFP14 (0.99, - [+,-]), ZNF768 (0.99, + [+,+]), MZF1 (0.97, - [+,-]), ZNF557 (0.78, + [+,+]), 
DENND1A	chr15	16756877	chr15	16744035	16744536	0.7065	ZNF846 (1.00, + [-,-]), ZBTB17 (1.00, + [-,-]), ZNF121 (1.00, + [-,-]), SALL2 (1.00, - [-,+]), KLF10 (0.98, - [-,+]), ZNF384 (0.93, + [-,-]), ZNF467 (0.86, - [-,+]), ZNF613 (0.81, + [-,-]), 
ABCA1	chr15	37954746	chr15	37883102	37883603	0.998	ZNF786 (0.85, - [+,-]), 
ABCA1	chr15	37954746	chr15	37883632	37884133	0.993	ZIC2 (0.99, - [+,-]), ZNF436 (0.92, - [+,-]), ZFX (0.88, + [+,+]), ZNF786 (0.80, - [+,-]), WT1 (0.75, - [+,-]), ZFP57 (0.73, - [+,-]), ZNF283 (0.71, - [+,-]), 
GABARAP	chr16	7009875	chr16	6981352	6981853	1	KLF7 (0.99, + [-,-]), KLF13 (0.85, + [-,-]), ETS2 (0.77, + [-,-]), ZFP14 (0.77, - [-,+]), ZNF169 (0.75, - [-,+]), ZNF682 (0.73, + [-,-]), ZNF283 (0.73, - [-,+]), SALL2 (0.71, + [-,-]), ZNF467 (0.70, - [-,+]), 
EIF1	chr16	52808380	chr16	52924057	52924558	0.859	KLF1 (1.00, - [+,-]), MZF1 (0.97, - [+,-]), ZNF467 (0.88, - [+,-]), WT1 (0.85, - [+,-]), ZNF682 (0.83, + [+,+]), 
