Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
GALNT2	chr1	18942693	chr1	18796229	18796730	0.851	ARID3A (1.00, - [+,-]), ZNF77 (1.00, - [+,-]), ZNF22 (0.99, + [+,+]), RREB1 (0.99, + [+,+]), ZNF354C (0.97, - [+,-]), 
GALNT2	chr1	18942693	chr1	18942514	18943015	0.9176	ZNF132 (0.74, + [+,+]), 
CACNA1E	chr1	38578899	chr1	38643885	38644386	0.9586	SMAD1 (0.88, - [+,-]), 
PROX1	chr1	71448674	chr1	71364228	71364729	0.9628	ZNF805 (1.00, + [+,+]), ZNF121 (0.98, + [+,+]), RREB1 (0.92, + [+,+]), TCF12 (0.79, + [+,+]), VEZF1 (0.72, + [+,+]), 
KCNK2	chr1	72466725	chr1	72556262	72556763	0.9428	ZNF77 (1.00, - [+,-]), ZNF766 (0.98, + [+,+]), SALL2 (0.90, + [+,+]), 
LOC695041	chr1	116036014	chr1	116036195	116036696	0.994	ZNF596 (0.92, + [+,+]), VEZF1 (0.90, - [+,-]), ZNF557 (0.87, + [+,+]), ZNF341 (0.83, + [+,+]), ETS2 (0.70, - [+,-]), 
ST6GALNAC5	chr1	147514789	chr1	147813439	147813940	0.8624	ETS2 (1.00, - [+,-]), ZNF22 (0.96, - [+,-]), ZNF398 (0.93, - [+,-]), ZBTB17 (0.92, - [+,-]), ARID3A (0.81, + [+,+]), TBPL2 (0.75, + [+,+]), 
ST6GALNAC3	chr1	148310013	chr1	148237814	148238315	0.8052	ZNF132 (1.00, - [+,-]), ZNF770 (1.00, - [+,-]), ZNF121 (0.99, + [+,+]), ZNF444 (0.99, - [+,-]), ZNF22 (0.97, - [+,-]), 
LRRIQ3	chr1	150218464	chr1	150078072	150078573	0.8644	ZNF202 (1.00, + [+,+]), ZNF84 (1.00, + [+,+]), ZNF484 (0.95, + [+,+]), ZNF169 (0.89, + [+,+]), 
LRRIQ3	chr1	150218464	chr1	150276227	150276728	0.824	KLF2 (1.00, + [-,-]), ZNF219 (0.98, + [-,-]), ZNF774 (0.93, + [-,-]), ZNF823 (0.91, - [-,+]), VEZF1 (0.90, + [-,-]), RREB1 (0.72, - [-,+]), 
TM2D1	chr1	162726592	chr1	162592196	162592697	0.7246	PRDM9 (0.88, + [-,-]), HDX (0.87, - [-,+]), SMAD1 (0.71, - [-,+]), 
GRIK3	chr1	187547473	chr1	187157325	187157826	0.731	ZNF557 (0.70, + [+,+]), 
CSMD2	chr1	190464426	chr1	189951722	189952223	0.8004	ZNF341 (0.99, - [+,-]), ZNF860 (0.99, + [+,+]), TBPL2 (0.80, + [+,+]), ZNF169 (0.74, - [+,-]), ZNF394 (0.71, + [+,+]), 
SYNDIG1	chr10	42057430	chr10	41950521	41951022	0.9612	MZF1 (0.84, - [+,-]), ZNF180 (0.70, - [+,-]), 
BTBD3	chr10	54634973	chr10	54216974	54217475	0.8946	ZNF22 (0.88, + [+,+]), 
ATP9A	chr10	87002023	chr10	86954543	86955044	0.7332	MZF1 (0.91, - [+,-]), 
EEF1A2	chr10	98712302	chr10	99102908	99103409	0.7356	ZNF77 (1.00, - [+,-]), TAL1 (0.99, + [+,+]), ZNF124 (0.97, + [+,+]), ZNF22 (0.76, + [+,+]), ZNF649 (0.75, - [+,-]), ZNF169 (0.75, - [+,-]), 
EEF1A2	chr10	98712302	chr10	99176480	99176981	0.9998	ZNF205 (0.81, + [+,+]), ZNF202 (0.75, - [+,-]), 
DUSP16	chr11	13938918	chr11	13937742	13938243	0.8536	ZNF770 (0.92, + [+,+]), 
DUSP16	chr11	13938918	chr11	14090694	14091195	0.847	ZNF846 (0.98, - [+,-]), ZNF384 (0.89, - [+,-]), SMAD1 (0.82, + [+,+]), ZNF467 (0.80, - [+,-]), VEZF1 (0.77, + [+,+]), 
TUBA1A	chr11	48738512	chr11	48627729	48628230	1	ZNF22 (0.75, + [-,-]), SALL2 (0.74, + [-,-]), 
WIF1	chr11	64699529	chr11	64698605	64699106	1	ZNF202 (0.90, - [+,-]), ZNF263 (0.87, - [+,-]), VEZF1 (0.86, - [+,-]), ZNF846 (0.75, + [+,+]), 
TRHDE	chr11	71849726	chr11	71628434	71628935	0.8812	ZNF22 (0.95, - [+,-]), 
PAWR	chr11	79250655	chr11	79251317	79251818	1	ZNF180 (0.89, - [+,-]), 
PAWR	chr11	79250655	chr11	79250794	79251295	0.962	ZNF202 (0.87, + [+,+]), SALL2 (0.79, + [+,+]), ZNF169 (0.79, + [+,+]), VEZF1 (0.78, + [+,+]), 
CEP290	chr11	87805150	chr11	87774332	87774833	0.7924	ZNF613 (1.00, - [-,+]), ARID3A (0.85, + [-,-]), PRDM6 (0.84, + [-,-]), 
