Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
PLD5	chr1	6565018	chr1	6565012	6565513	0.9936	ZFP57 (1.00, + [+,+]), ZNF180 (0.99, - [+,-]), ZNF566 (0.99, + [+,+]), SALL4 (0.98, - [+,-]), VEZF1 (0.98, + [+,+]), ZNF846 (0.98, - [+,-]), ZNF530 (0.97, - [+,-]), ZNF311 (0.97, + [+,+]), ZNF304 (0.96, - [+,-]), KLF7 (0.94, + [+,+]), ZNF30 (0.94, + [+,+]), SP7 (0.93, - [+,-]), GTF2I (0.91, - [+,-]), ZNF444 (0.91, + [+,+]), ZNF398 (0.91, - [+,-]), ZNF441 (0.90, - [+,-]), ZNF267 (0.87, - [+,-]), ZNF774 (0.87, + [+,+]), ZNF219 (0.86, + [+,+]), ZBTB17 (0.84, + [+,+]), MAZ (0.83, - [+,-]), ZNF543 (0.80, + [+,+]), WT1 (0.79, + [+,+]), ZNF548 (0.77, + [+,+]), 
PLD5	chr1	6565018	chr1	6565916	6566417	0.8968	ZNF354C (1.00, - [+,-]), ARID3A (0.98, - [+,-]), STAT2 (0.98, - [+,-]), SALL2 (0.96, + [+,+]), ZNF169 (0.94, + [+,+]), ZNF22 (0.91, + [+,+]), PRDM6 (0.86, + [+,+]), SALL4 (0.73, - [+,-]), 
NID1	chr1	12965398	chr1	12965908	12966409	0.8046	ZNF846 (1.00, - [+,-]), ZNF557 (0.97, - [+,-]), ZNF180 (0.72, - [+,-]), 
ABCB10	chr1	19442426	chr1	19442614	19443115	0.8982	ZNF786 (0.79, + [-,-]), ZNF281 (0.73, - [-,+]), 
SWT1	chr1	42404706	chr1	42084689	42085190	0.805	ZNF37A (1.00, + [-,-]), ZNF557 (1.00, + [-,-]), ETS2 (1.00, - [-,+]), ZNF132 (0.95, - [-,+]), ZNF341 (0.80, + [-,-]), 
HMCN1	chr1	42966607	chr1	43396946	43397447	0.986	ZNF649 (0.97, + [+,+]), 
PIK3C2B	chr1	62001512	chr1	61964510	61965011	0.7978	ZNF557 (1.00, + [+,+]), LYL1 (0.89, - [+,-]), IKZF2 (0.73, + [+,+]), 
SRGAP2	chr1	63724985	chr1	63820408	63820909	0.8618	VEZF1 (0.99, + [+,+]), STAT2 (0.99, - [+,-]), ZNF774 (0.96, + [+,+]), 
SRGAP2	chr1	63724985	chr1	63879150	63879651	0.897	TBPL2 (0.91, - [+,-]), ZNF169 (0.70, + [+,+]), 
RASSF5	chr1	64016640	chr1	64016602	64017103	0.9154	ZNF596 (0.98, + [+,+]), KLF7 (0.94, + [+,+]), KLF4 (0.94, - [+,-]), ZNF311 (0.93, + [+,+]), ZNF354C (0.93, + [+,+]), ZNF180 (0.92, + [+,+]), ZNF467 (0.90, + [+,+]), ZNF543 (0.89, + [+,+]), ZNF571 (0.86, - [+,-]), ZNF267 (0.85, - [+,-]), ZNF30 (0.76, + [+,+]), ZNF398 (0.76, - [+,-]), ZBTB17 (0.72, + [+,+]), ZNF774 (0.71, + [+,+]), 
RASSF5	chr1	64016640	chr1	64016097	64016598	0.8834	ZNF548 (0.99, + [+,+]), ZNF341 (0.85, - [+,-]), WT1 (0.78, + [+,+]), GTF2I (0.77, - [+,-]), 
VASH2	chr1	70421275	chr1	70416336	70416837	0.8984	ARID3A (1.00, + [+,+]), ZNF467 (1.00, + [+,+]), ZNF557 (1.00, + [+,+]), BCL11A (1.00, + [+,+]), ETS2 (1.00, - [+,-]), ZFP57 (0.98, + [+,+]), ZNF768 (0.95, - [+,-]), ZNF84 (0.95, + [+,+]), ZNF774 (0.92, + [+,+]), ZNF124 (0.86, + [+,+]), ZNF197 (0.77, + [+,+]), 
VASH2	chr1	70421275	chr1	70420943	70421444	0.9894	ZNF846 (0.82, + [+,+]), ZNF30 (0.78, + [+,+]), ZNF543 (0.72, + [+,+]), 
