Peak_Coordinates	BCL11A	CTCF	CTCFL	DNMT1	ETS2	GTF2I	GTF3A	IRF2	KLF1	KLF10	KLF11	KLF13	KLF15	KLF16	KLF2	KLF4	KLF5	KLF7	KLF9	LYL1	MAZ	MZF1	PATZ1	PRDM6	RBAK	RREB1	SALL2	SALL4	SP1	SP2	SP4	SP5	SP7	SP8	SP9	STAT2	TAL1	TCF12	VEZF1	WT1	ZBTB17	ZBTB7A	ZBTB7C	ZFP14	ZFP28	ZFP57	ZFP64	ZFP69B	ZFX	ZFY	ZNF121	ZNF124	ZNF132	ZNF169	ZNF180	ZNF181	ZNF182	ZNF189	ZNF202	ZNF205	ZNF219	ZNF23	ZNF263	ZNF267	ZNF281	ZNF283	ZNF30	ZNF304	ZNF311	ZNF341	ZNF354C	ZNF37A	ZNF384	ZNF394	ZNF398	ZNF436	ZNF441	ZNF444	ZNF467	ZNF484	ZNF513	ZNF527	ZNF530	ZNF543	ZNF548	ZNF557	ZNF566	ZNF571	ZNF596	ZNF613	ZNF658	ZNF682	ZNF71	ZNF766	ZNF77	ZNF770	ZNF774	ZNF776	ZNF786	ZNF823	ZNF84	ZNF846	ZNF860	ZSCAN22	ZSCAN30
chr1_19406766_19407267	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9755	0	0	0	0	0	0	0	0.149	0.144	0	0	0	0	0.658	0	0.511	0	0	0
chr1_32820518_32821019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.453	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0.983	0	0	0	0.546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4015	0	0.202	0	0	0.5435	0	0	0	0.2565	0	0
chr1_34690055_34690556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7815	0	0	0	0	0	0	0	0	0	0	0	0.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489	0	0	0	0	0	0	0	0	0	0.9715	0	0	0	0	0	0.7625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3245	0	0	0	0	0	0	0	0.253	0	0	0
chr1_39376056_39376557	0	0	0	0	0.3855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7845	0	0	0.5675	0	0	0.5755	0	0	0	0	0	0	0	0	0.376	0	0	0.37	0	0.198	0	0	0	0.431	0	0	0	0	0.3625	0	0	0	0	0	0	0.3295	0	0.2975	0	0	0	0	0.1325	0	0	0	0	0	0.1805	0	0	0.219	0	0	0	0	0	0.4205	0	0	0	0	0	0	0.3835	0	0	0	0.1965	0	0	0.517	0.3095	0	0	0.1595	0	0	0.584	0.25	0.3595	0	0	0
chr1_39508658_39509159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.981	0	0	0	0	0	0	0	0	0	0	0	0.1965	0	0	0	0	0	0	0	0	0.693	0	0	0	0	0	0.242	0	0	0.6665	0	0	0.4345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2295	0	0	0	0	0	0	0	0.181	0	0	0	0	0.383	0	0.315	0	0.141	0	0	0	0	0	0.256	0	0	0	0	0	0	0	0	0
chr1_39524402_39524903	0	0	0	0	0	0.9655	0	0	0	0	0	0	0	0	0.9305	0	0	0	0	0	0.5425	0.3315	0	0	0	0	0.431	0.9445	0	0	0	0	0	0	0	0	0.13	0	0.9795	0	0.4055	0	0	0	0	0	0.855	0	0	0	0	0	0.42	0.602	0.4555	0	0	0	0.5175	0.774	0.1195	0	0.281	0	0	0.164	0	0	0	0.659	0	0.3505	0	0	0.2745	0	0	0.785	0.3825	0	0	0	0	0	0	0	0	0	0.424	0	0.215	0.997	0.5445	0	0	0.6705	0	0	0	0	0	0.87	0	0.261	0
chr1_41038865_41039366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.721	0	0	0	0	0	0	0	0.4755	0	0	0	0	0	0	0	0.8025	0	0	0
chr1_41155744_41156245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124	0	0	0	0	0	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.984	0	0	0.9745	0	0	0	0	0
chr1_61139428_61139929	0	0	0	0	0.9215	0.6805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.923	0.589	0.9675	0.4335	0.9835	0	0	0	0	0	0	0	0	0	0	0.962	0	0	0.9135	0	0.237	0	0	0	0	0	0	0	0	0	0	0	0.1355	0.962	0.9915	0	0	0.9765	0	0	0	0	0	0.9985	0.9795	0	0.9835	0	0	0.8125	0	0.987	0	0	0	0	0	0	0.478	0.284	0	0	0	0	0.1445	0.984	0	0	0	0	0	0	0.877	0	0	0	0.991	0.1755	0	0.536	0.766	0	0.7375	0	0.999
chr1_63974252_63974753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226	0.8925	0	0	0	0	0	0	0.9375	0	0	0	0	0	0	0.965	0	0	0	0	0.7255	0	0	0	0	0	0	0	0	0.5755	0	0	0	0	0
