Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
ABCB10	chr1	19442426	chr1	19406766	19407267	0.8575	ZNF557 (0.98, + [+,+]), 
RASAL2	chr1	35333346	chr1	34690055	34690556	0.748	ZNF341 (0.97, + [+,+]), KLF2 (0.78, + [+,+]), ZNF436 (0.76, + [+,+]), 
MEF2D	chr1	94482128	chr1	94385310	94385811	0.8395	ZFX (0.85, - [+,-]), ZNF566 (0.74, - [+,-]), ZNF263 (0.71, - [+,-]), 
PTBP2	chr1	127429746	chr1	127899338	127899839	0.8175	ZNF182 (1.00, + [+,+]), CTCF (0.99, - [+,-]), ZNF557 (0.98, + [+,+]), VEZF1 (0.91, - [+,-]), 
ST6GALNAC3	chr1	148310013	chr1	148005913	148006414	0.785	ZNF205 (0.99, - [+,-]), BCL11A (0.98, - [+,-]), ZNF823 (0.76, - [+,-]), ZNF77 (0.71, - [+,-]), ZNF774 (0.70, + [+,+]), 
ST6GALNAC5	chr1	147514789	chr1	148005913	148006414	0.785	ZNF205 (0.99, - [+,-]), BCL11A (0.98, - [+,-]), ZNF823 (0.76, - [+,-]), ZNF77 (0.71, - [+,-]), ZNF774 (0.70, + [+,+]), 
DAB1	chr1	166992832	chr1	167083776	167084277	0.744	ZNF398 (1.00, + [+,+]), RBAK (1.00, - [+,-]), ZNF527 (0.98, + [+,+]), ZNF84 (0.91, - [+,-]), ZNF341 (0.87, + [+,+]), 
SSBP3	chr1	170006947	chr1	170189349	170189850	0.7235	ZNF557 (0.92, + [+,+]), 
FAF1	chr1	173511327	chr1	173501383	173501884	0.7635	ZNF71 (0.94, - [+,-]), ZNF682 (0.88, + [+,+]), ZFP69B (0.87, + [+,+]), ZNF786 (0.81, - [+,-]), ZNF169 (0.73, + [+,+]), ZSCAN22 (0.71, + [+,+]), 
SMAP2	chr1	184201770	chr1	184209189	184209690	0.904	VEZF1 (0.88, + [+,+]), ZNF786 (0.74, + [+,+]), 
SMAP2	chr1	184201770	chr1	184240799	184241300	0.9945	KLF10 (0.76, - [+,-]), ZNF774 (0.74, + [+,+]), 
MAN1C1	chr1	199196698	chr1	198995613	198996114	0.8145	ZNF354C (0.79, - [+,-]), ZNF267 (0.78, - [+,-]), ZNF304 (0.74, - [+,-]), ZFP69B (0.73, + [+,+]), 
MAN1C1	chr1	199196698	chr1	199139032	199139533	0.822	SP4 (1.00, - [+,-]), SP5 (1.00, - [+,-]), GTF2I (1.00, - [+,-]), SP1 (1.00, + [+,+]), ZNF354C (1.00, - [+,-]), ZNF169 (0.97, + [+,+]), SP9 (0.96, + [+,+]), ZNF548 (0.96, + [+,+]), ZNF658 (0.93, + [+,+]), ZNF846 (0.92, - [+,-]), MZF1 (0.77, + [+,+]), ZNF774 (0.76, + [+,+]), SP8 (0.74, - [+,-]), 
MAN1C1	chr1	199196698	chr1	199247540	199248041	0.7195	ZNF846 (1.00, + [+,+]), ZNF304 (1.00, - [+,-]), SALL2 (1.00, - [+,-]), ZNF484 (0.99, - [+,-]), 
AIFM3	chr10	31707585	chr10	31688074	31688575	0.8435	ZNF571 (1.00, + [-,-]), ZNF770 (0.77, - [-,+]), 
LOC717626	chr10	64684626	chr10	64569224	64569725	0.7315	ZNF786 (1.00, + [+,+]), ZNF169 (0.88, - [+,-]), 
ACSS2	chr10	70084109	chr10	70079839	70080340	0.7705	ZNF304 (0.82, - [+,-]), KLF7 (0.82, - [+,-]), SP1 (0.81, + [+,+]), SP9 (0.74, - [+,-]), KLF10 (0.74, + [+,+]), ZSCAN30 (0.73, - [+,-]), 
PPDPF	chr10	98741629	chr10	98742059	98742560	0.9995	ZNF219 (0.99, - [+,-]), ZNF770 (0.89, + [+,+]), SALL4 (0.88, - [+,-]), ZNF37A (0.85, + [+,+]), ZNF596 (0.85, + [+,+]), SALL2 (0.73, - [+,-]), 
PPDPF	chr10	98741629	chr10	99313069	99313570	0.7815	ZNF124 (1.00, + [+,+]), ZFP57 (1.00, + [+,+]), ZNF770 (0.99, + [+,+]), ZNF596 (0.99, + [+,+]), ZNF281 (0.96, + [+,+]), ZNF169 (0.96, + [+,+]), PATZ1 (0.95, + [+,+]), ZNF180 (0.95, + [+,+]), RBAK (0.90, - [+,-]), ZNF467 (0.82, - [+,-]), TAL1 (0.81, + [+,+]), ZNF557 (0.80, + [+,+]), KLF9 (0.78, + [+,+]), ZNF566 (0.72, + [+,+]), 
TNFRSF1A	chr11	6475061	chr11	6579056	6579557	0.7475	ZNF169 (0.95, + [+,+]), 
ANKS1B	chr11	99805038	chr11	99664455	99664956	0.8475	GTF3A (0.99, - [+,-]), ZNF169 (0.75, - [+,-]), ZNF281 (0.74, - [+,-]), ZNF311 (0.73, - [+,-]), 
APPL2	chr11	104982712	chr11	105057206	105057707	0.8655	ZSCAN30 (0.88, - [+,-]), ZNF71 (0.86, + [+,+]), MZF1 (0.80, + [+,+]), ZNF23 (0.80, + [+,+]), ZNF180 (0.74, + [+,+]), ZNF860 (0.74, - [+,-]), SALL2 (0.73, - [+,-]), KLF4 (0.70, + [+,+]), 
MED13L	chr11	116000044	chr11	116336563	116337064	0.706	GTF2I (0.96, - [+,-]), ZNF341 (0.95, - [+,-]), VEZF1 (0.92, - [+,-]), ZNF202 (0.75, - [+,-]), ZNF543 (0.72, - [+,-]), ZNF513 (0.70, + [+,+]), 
HS6ST1	chr12	2580473	chr12	2624565	2625066	0.7615	ZNF571 (1.00, - [+,-]), ZNF205 (0.74, + [+,+]), 
EPB41L5	chr12	11088033	chr12	10928340	10928841	0.7955	CTCF (0.92, - [+,-]), PRDM6 (0.79, + [+,+]), CTCFL (0.77, + [+,+]), ZNF557 (0.77, + [+,+]), 
EPB41L5	chr12	11088033	chr12	11093767	11094268	0.969	ZNF441 (0.76, - [+,-]), 
RAPH1	chr12	90891351	chr12	90935064	90935565	0.877	WT1 (0.84, + [+,+]), ZNF394 (0.82, + [+,+]), ZNF770 (0.79, - [+,-]), VEZF1 (0.77, - [+,-]), KLF10 (0.73, + [+,+]), SP7 (0.71, + [+,+]), 
NRP2	chr12	93090505	chr12	93090337	93090838	0.9865	VEZF1 (0.95, + [+,+]), ZNF304 (0.85, - [+,-]), KLF9 (0.85, - [+,-]), ZFP57 (0.79, + [+,+]), ZNF596 (0.79, - [+,-]), 
NRP2	chr12	93090505	chr12	93093839	93094340	0.782	ZBTB7A (1.00, - [+,-]), ZNF304 (1.00, - [+,-]), ZNF263 (1.00, + [+,+]), ZNF786 (0.99, + [+,+]), SALL2 (0.99, + [+,+]), MAZ (0.98, + [+,+]), KLF1 (0.98, + [+,+]), KLF11 (0.98, - [+,-]), ZNF132 (0.95, - [+,-]), ZNF180 (0.89, - [+,-]), ZNF467 (0.87, + [+,+]), ZNF354C (0.82, - [+,-]), ZNF596 (0.79, - [+,-]), KLF2 (0.79, + [+,+]), ZNF398 (0.77, - [+,-]), ZNF484 (0.74, + [+,+]), ZNF169 (0.71, - [+,-]), 
NRP2	chr12	93090505	chr12	93130025	93130526	0.9595	ZNF823 (0.97, - [+,-]), ZNF467 (0.97, - [+,-]), ZNF341 (0.83, - [+,-]), ZNF596 (0.76, - [+,-]), ZNF557 (0.75, - [+,-]), 
ITM2C	chr12	118286997	chr12	118302099	118302600	0.7135	ZNF557 (0.98, + [+,+]), ZNF169 (0.95, + [+,+]), ZNF23 (0.94, + [+,+]), ZNF548 (0.89, + [+,+]), ZNF484 (0.88, - [+,-]), 
PTMA	chr12	119134646	chr12	119065364	119065865	0.898	KLF13 (0.76, + [-,-]), 
IQCA1	chr12	123896571	chr12	124036015	124036516	0.7195	ZNF180 (0.98, - [-,+]), ZNF774 (0.91, - [-,+]), ZNF766 (0.84, - [-,+]), 
HDAC4	chr12	126800488	chr12	126895560	126896061	0.853	KLF15 (0.95, - [-,+]), ZNF557 (0.87, - [-,+]), ZNF786 (0.81, - [-,+]), 
KIF1A	chr12	128139842	chr12	128151756	128152257	0.7795	GTF2I (1.00, + [-,-]), ZNF557 (0.92, - [-,+]), ZNF860 (0.90, - [-,+]), 
STPG4	chr13	61650671	chr13	61614128	61614629	0.818	MAZ (0.92, - [-,+]), ZNF823 (0.88, + [-,-]), ZNF124 (0.87, - [-,+]), ZNF530 (0.78, + [-,-]), VEZF1 (0.77, - [-,+]), 
RHOQ	chr13	62254635	chr13	62254517	62255018	0.9585	ZNF770 (0.79, - [+,-]), ZNF180 (0.76, - [+,-]), ZNF658 (0.75, - [+,-]), ZNF23 (0.75, - [+,-]), 
CAMKMT	chr13	64420697	chr13	64522644	64523145	0.8325	ZNF557 (0.98, - [-,+]), 
VIT	chr13	72235125	chr13	72339061	72339562	0.9195	BCL11A (0.98, - [-,+]), ZNF71 (0.96, + [-,-]), ZNF169 (0.90, - [-,+]), 
PYGM	chr14	9782968	chr14	9935521	9936022	0.804	ZNF71 (0.98, - [-,+]), KLF1 (0.91, + [-,-]), ZBTB7C (0.83, - [-,+]), BCL11A (0.75, + [-,-]), ZNF613 (0.72, - [-,+]), ZNF384 (0.72, - [-,+]), SP7 (0.70, + [-,-]), 
CRY2	chr14	19929549	chr14	19535565	19536066	0.738	SALL2 (1.00, - [+,-]), WT1 (1.00, - [+,-]), ZNF354C (1.00, - [+,-]), ZNF77 (1.00, + [+,+]), ZNF467 (0.99, - [+,-]), ETS2 (0.98, + [+,+]), ZNF169 (0.98, + [+,+]), ZNF770 (0.94, + [+,+]), ZNF398 (0.93, + [+,+]), KLF10 (0.88, + [+,+]), ZNF180 (0.87, + [+,+]), ZNF132 (0.83, - [+,-]), ZNF444 (0.79, + [+,+]), ZNF71 (0.73, + [+,+]), 
CHST1	chr14	20102725	chr14	20336722	20337223	0.817	LYL1 (0.92, - [+,-]), PRDM6 (0.84, + [+,+]), ZFP14 (0.77, + [+,+]), 
C14H11orf96	chr14	21809053	chr14	21808488	21808989	0.9975	MAZ (0.99, + [+,+]), ZNF823 (0.98, - [+,-]), VEZF1 (0.86, - [+,-]), ZNF23 (0.72, - [+,-]), 
ABCC8	chr14	48161088	chr14	48160762	48161263	0.889	ZNF283 (1.00, + [+,+]), ZNF441 (1.00, + [+,+]), ZFP64 (1.00, + [+,+]), ZNF398 (1.00, - [+,-]), KLF4 (0.99, + [+,+]), ZNF530 (0.98, + [+,+]), ZNF304 (0.97, - [+,-]), ZNF682 (0.97, + [+,+]), ZNF467 (0.95, + [+,+]), KLF1 (0.93, + [+,+]), ZNF267 (0.93, + [+,+]), WT1 (0.93, + [+,+]), ZNF846 (0.80, + [+,+]), ZNF513 (0.77, + [+,+]), 
ABCC8	chr14	48161088	chr14	48248634	48249135	0.9995	CTCFL (0.86, + [+,+]), KLF10 (0.85, + [+,+]), ZNF571 (0.85, - [+,-]), SP2 (0.84, - [+,-]), KLF13 (0.80, + [+,+]), ZNF484 (0.78, - [+,-]), VEZF1 (0.76, - [+,-]), KLF9 (0.75, + [+,+]), KLF15 (0.74, + [+,+]), MAZ (0.72, - [+,-]), SP7 (0.71, + [+,+]), 
HIKESHI	chr14	79539889	chr14	79897235	79897736	0.991	SP1 (1.00, - [+,-]), KLF10 (1.00, + [+,+]), ZNF169 (0.99, + [+,+]), KLF9 (0.99, + [+,+]), ZNF180 (0.99, + [+,+]), KLF15 (0.98, + [+,+]), ZNF557 (0.98, + [+,+]), KLF13 (0.98, + [+,+]), ZNF283 (0.87, + [+,+]), ZNF441 (0.85, - [+,-]), SP8 (0.84, + [+,+]), ZFX (0.75, - [+,-]), SP7 (0.75, + [+,+]), 
TNC	chr15	27729321	chr15	27702281	27702782	0.9995	KLF16 (1.00, - [+,-]), ZNF467 (0.94, - [+,-]), ZFP57 (0.85, - [+,-]), SP7 (0.82, - [+,-]), ZNF566 (0.81, - [+,-]), ZNF398 (0.79, + [+,+]), WT1 (0.77, - [+,-]), ZNF304 (0.71, - [+,-]), 
C9orf72	chr15	56181733	chr15	56226026	56226527	0.906	CTCFL (0.99, + [+,+]), ZNF311 (0.76, + [+,+]), ZBTB7C (0.74, - [+,-]), 
KLF9	chr15	85830217	chr15	85808372	85808873	0.9455	SALL2 (1.00, - [+,-]), ZNF786 (0.99, + [+,+]), 
KLF9	chr15	85830217	chr15	85887729	85888230	0.9285	TAL1 (0.98, - [+,-]), ZNF557 (0.98, + [+,+]), ZNF770 (0.86, + [+,+]), 
NINJ1	chr15	108098573	chr15	108264819	108265320	0.994	ZNF557 (0.98, + [+,+]), ZFP28 (0.95, + [+,+]), ZNF181 (0.92, - [+,-]), ZNF384 (0.85, - [+,-]), STAT2 (0.82, - [+,-]), GTF3A (0.77, - [+,-]), ZSCAN30 (0.74, - [+,-]), ZNF182 (0.72, + [+,+]), 
SLC43A2	chr16	1486989	chr16	1487740	1488241	1	ZNF304 (0.79, + [+,+]), ZNF84 (0.75, + [+,+]), ZNF441 (0.73, + [+,+]), ZNF132 (0.73, + [+,+]), ZNF281 (0.73, - [+,-]), 
SLC43A2	chr16	1486989	chr16	1486749	1487250	0.8985	ZFP57 (0.91, - [+,-]), SALL2 (0.86, + [+,+]), DNMT1 (0.77, - [+,-]), 
ZSWIM7	chr16	16398381	chr16	16431670	16432171	0.827	ZNF121 (0.72, + [+,+]), 
ULK2	chr16	19348000	chr16	19457787	19458288	0.864	ZNF770 (0.99, + [+,+]), ZNF354C (0.98, - [+,-]), ZNF124 (0.97, + [+,+]), ZNF169 (0.96, + [+,+]), 
RNF43	chr16	38382428	chr16	38380597	38381098	0.983	ZNF596 (0.79, - [+,-]), VEZF1 (0.76, - [+,-]), ZNF281 (0.76, - [+,-]), ZNF658 (0.75, - [+,-]), 
HSF5	chr16	38317197	chr16	38646397	38646898	0.7685	ZNF786 (0.99, - [-,+]), STAT2 (0.99, + [-,-]), ZNF776 (0.96, - [-,+]), ZNF354C (0.90, + [-,-]), ZNF770 (0.82, + [-,-]), ZNF557 (0.81, + [-,-]), 
LUC7L3	chr16	46067519	chr16	46159047	46159548	0.7005	ZNF267 (1.00, + [-,-]), ZNF132 (1.00, + [-,-]), KLF11 (1.00, + [-,-]), KLF2 (1.00, - [-,+]), RBAK (1.00, + [-,-]), ZNF219 (0.99, + [-,-]), ZNF444 (0.95, - [-,+]), ZNF37A (0.94, - [-,+]), ZBTB17 (0.94, - [-,+]), ZNF304 (0.88, + [-,-]), ZNF169 (0.81, - [-,+]), MAZ (0.76, - [-,+]), 
CACNG4	chr16	63338920	chr16	63324640	63325141	0.9805	ZNF354C (1.00, - [+,-]), ZNF770 (0.99, + [+,+]), VEZF1 (0.98, - [+,-]), ZNF169 (0.96, + [+,+]), ZNF180 (0.88, + [+,+]), 
GRIN2C	chr16	71194820	chr16	71180947	71181448	0.9545	ZNF283 (0.80, - [+,-]), KLF11 (0.80, - [+,-]), ZNF341 (0.76, - [+,-]), ZFX (0.76, + [+,+]), ZFP69B (0.74, + [+,+]), ZNF304 (0.74, + [+,+]), 
EIF4A3	chr16	76476848	chr16	76534253	76534754	0.7385	GTF2I (0.99, - [-,+]), ZNF557 (0.95, + [-,-]), ZNF823 (0.92, - [-,+]), ZNF398 (0.82, - [-,+]), 
MRO	chr18	31564283	chr18	31392004	31392505	0.7135	ZNF304 (0.87, + [+,+]), ZNF571 (0.78, - [+,-]), ZNF283 (0.71, - [+,-]), 
SETBP1	chr18	37753831	chr18	37643995	37644496	0.806	ZNF596 (0.99, + [+,+]), ZNF557 (0.90, + [+,+]), ZNF774 (0.89, + [+,+]), ZNF823 (0.82, + [+,+]), ZNF527 (0.79, - [+,-]), 
CDH2	chr18	54264831	chr18	54303833	54304334	0.825	ZFP14 (1.00, - [+,-]), 
OLFM2	chr19	9663466	chr19	9626790	9627291	0.8295	ZNF557 (1.00, - [-,+]), ZNF846 (0.99, - [-,+]), ZNF84 (0.99, + [-,-]), ZFP28 (0.99, - [-,+]), ZNF774 (0.98, - [-,+]), 
OLFM2	chr19	9663466	chr19	9638568	9639069	0.747	ZNF770 (1.00, - [-,+]), MAZ (1.00, - [-,+]), SP7 (1.00, - [-,+]), ZNF121 (0.97, + [-,-]), ZNF444 (0.91, - [-,+]), ZNF398 (0.82, + [-,-]), 
LDLR	chr19	10851911	chr19	10852595	10853096	0.9965	ZSCAN22 (0.79, - [+,-]), ZNF341 (0.77, + [+,+]), ZNF774 (0.75, - [+,-]), ZNF658 (0.74, - [+,-]), ZNF311 (0.73, - [+,-]), ZNF180 (0.73, - [+,-]), ZNF770 (0.71, - [+,-]), 
