Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
CACNA1E	chr1	38578899	chr1	38531036	38531537	0.8236	ARID3A (1.00, - [+,-]), ZNF341 (1.00, - [+,-]), ZNF354C (1.00, - [+,-]), ZFP57 (1.00, + [+,+]), ZNF658 (0.99, + [+,+]), SALL4 (0.99, + [+,+]), SALL2 (0.97, + [+,+]), ZNF770 (0.96, - [+,-]), ZNF180 (0.96, + [+,+]), SP2 (0.91, + [+,+]), PRDM9 (0.84, + [+,+]), ZNF84 (0.70, - [+,-]), 
NFIA	chr1	163371534	chr1	163261954	163262455	0.7502	ZFP57 (0.88, - [+,-]), IKZF3 (0.81, - [+,-]), ZNF169 (0.73, + [+,+]), 
RASSF2	chr10	61652755	chr10	61352455	61352956	0.9344	KLF7 (1.00, - [+,-]), ZNF304 (0.93, - [+,-]), ZNF169 (0.74, - [+,-]), 
RASSF2	chr10	61652755	chr10	61664167	61664668	0.8602	ZNF169 (1.00, - [+,-]), ZNF205 (0.96, + [+,+]), ZNF786 (0.95, + [+,+]), ZNF189 (0.88, + [+,+]), ZNF354C (0.73, + [+,+]), HOXC5 (0.71, + [+,+]), 
FMNL3	chr11	49328893	chr11	49380132	49380633	0.7828	LYL1 (1.00, + [+,+]), ZNF30 (0.96, + [+,+]), 
AFTPH	chr13	44250123	chr13	44251048	44251549	0.8686	CTCFL (1.00, + [-,-]), PRDM6 (1.00, + [-,-]), CTCF (0.82, - [-,+]), ARID3A (0.73, - [-,+]), 
EHD3	chr13	77663980	chr13	77657810	77658311	0.9248	ZNF77 (0.88, - [+,-]), ZNF354C (0.81, - [+,-]), ZNF22 (0.78, + [+,+]), ZNF169 (0.71, - [+,-]), 
GALNT14	chr13	77756608	chr13	77815487	77815988	0.8486	CTCF (1.00, - [+,-]), ZNF394 (0.99, + [+,+]), ZNF860 (0.94, - [+,-]), ZNF263 (0.72, - [+,-]), 
GALNT14	chr13	77756608	chr13	77819750	77820251	0.7094	ZNF77 (1.00, - [+,-]), ZNF283 (0.95, + [+,+]), ZNF394 (0.94, + [+,+]), ZNF26 (0.87, + [+,+]), ZNF281 (0.82, + [+,+]), 
NRXN2	chr14	9830130	chr14	9900947	9901448	0.7072	ZFP64 (0.89, + [+,+]), ZNF219 (0.87, - [+,-]), ZNF548 (0.85, + [+,+]), SP7 (0.78, + [+,+]), PRDM9 (0.76, + [+,+]), KLF10 (0.73, + [+,+]), ZNF846 (0.73, - [+,-]), ZNF658 (0.72, + [+,+]), ZNF304 (0.72, + [+,+]), ZNF311 (0.72, - [+,-]), 
NRXN2	chr14	9830130	chr14	10162104	10162605	0.7538	ZNF37A (1.00, - [+,-]), ZNF770 (1.00, + [+,+]), ZNF77 (0.99, - [+,-]), ZFX (0.99, + [+,+]), ZNF267 (0.99, + [+,+]), ZNF786 (0.86, - [+,-]), ZNF444 (0.84, + [+,+]), SP8 (0.79, + [+,+]), 
COL27A1	chr15	28696818	chr15	28734751	28735252	0.8592	ZNF770 (0.85, + [+,+]), ZFP14 (0.84, - [+,-]), ZNF530 (0.70, + [+,+]), 
ROR2	chr15	106933162	chr15	106857722	106858223	0.931	STAT2 (0.96, + [+,+]), ZNF571 (0.96, - [+,-]), ZNF22 (0.91, + [+,+]), 
SPNS2	chr16	4318753	chr16	4318289	4318790	0.9902	SP1 (0.93, + [+,+]), ZNF304 (0.83, + [+,+]), KLF9 (0.78, + [+,+]), ZNF571 (0.73, + [+,+]), ZNF283 (0.71, - [+,-]), ZNF180 (0.71, - [+,-]), 
CACNG4	chr16	63338920	chr16	63324640	63325141	0.7774	ZNF354C (1.00, + [-,-]), VEZF1 (0.99, - [-,+]), ZNF180 (0.97, - [-,+]), ZNF846 (0.81, + [-,-]), 
AMZ2	chr16	64466199	chr16	64523642	64524143	0.8406	MAZ (0.98, + [+,+]), SP7 (0.97, + [+,+]), ZNF398 (0.95, + [+,+]), ZNF530 (0.93, - [+,-]), ZNF71 (0.90, + [+,+]), ZNF202 (0.87, - [+,-]), ZNF304 (0.82, - [+,-]), ZNF786 (0.82, - [+,-]), KLF10 (0.81, - [+,-]), ZNF180 (0.77, - [+,-]), ZNF341 (0.75, + [+,+]), RREB1 (0.75, - [+,-]), 
PRKAR1A	chr16	64857521	chr16	64858909	64859410	0.7596	ZNF71 (0.87, + [-,-]), ZNF37A (0.83, + [-,-]), 
GPX4	chr19	879172	chr19	994063	994564	0.9008	ZNF304 (1.00, + [-,-]), ZNF77 (0.99, - [-,+]), STAT2 (0.95, + [-,-]), ZNF571 (0.94, - [-,+]), ZNF786 (0.81, - [-,+]), ZNF121 (0.78, - [-,+]), ZNF613 (0.73, + [-,-]), 
